id,team,position
iw,adoct1415,skipper
iw,ador1112,skipper
iw,gd0809,skipper
ak,adoct1415,crew
al,ador1112,crew
al,adoct1415,crew
bam,adoct1415,crew
cs,adoct1415,crew
cs,ador1112,crew
cs,por0809,crew
jsa,ador1112,crew
jsa,adoct1415,crew
jf,por1112,crew
jf,adoct1415,crew
jf,tan1718,crew
jf,por0809,crew
js,adoct1415,crew
js,ador1112,crew
js,gd0809,crew
nd,ta1415,crew
nd,tvhr1718,crew
rg,ador1112,crew
rg,tm1415,crew
rg,tm1718,crew
rg,por0809,crew
sf,ador1112,crew
sf,adoct1415,crew
sf,tvhr1718,crew
sf,tblu0809,crew
sf,eth2223,crew
wm,ador1112,crew
wm,adoct1415,crew
bb,tb1415,skipper
bb,tb1718,skipper
bb,tblu0809,skipper
jd,tb1415,crew
jd,tb1718,skipper
jd,e30809,crew
ac,t1112,crew
ac,tb1415,crew
ac,tb1718,crew
ac,por0809,crew
lb,tb1415,crew
lb,tb1718,crew
pb,tb1415,crew
pb,tb1718,crew
kl,tb1415,crew
kl,tb1718,crew
jm,tb1415,crew
jm,tb1718,crew
chu,tb1415,crew
chu,tb1718,crew
rk,tb1415,crew
rk,tb1718,crew
sn,tb1415,crew
sn,tb1718,crew
nc,tb1415,crew
nc,tb1718,crew
cc,g41112,crew
cc,drt1415,skipper
cc,td1718,skipper
sb,td1718,crew
sb,ta1415,crew
sb,cwetnz1112,crew
sb,e40809,crew
cb,td1718,crew
cb,tsca1415,crew
jme,td1718,crew
jme,tsca1415,crew
jme,eth2223,crew
mr,drt1415,crew
mr,td1718,crew
mr,br2223,crew
jb,drt1415,crew
jb,td1718,crew
pbi,drt1415,crew
pbi,td1718,crew
cj,drt1415,crew
cj,td1718,crew
ke,drt1415,crew
ke,td1718,crew
ke,hprb2223,crew
dw,cwetnz1112,crew
dw,drt1415,crew
dw,td1718,crew
dw,tblu0809,crew
fd,drt1415,crew
fd,td1718,crew
fd,hprb2223,crew
fc,drt1415,crew
fc,td1718,crew
fc,g41112,skipper
lx,drt1415,crew
lx,td1718,crew
jbo,drt1415,crew
jbo,td1718,crew
jbo,eth2223,crew
xf,t1112,crew
xf,tm1415,skipper
xf,tm1718,skipper
xf,tblu0809,skipper
wa,tm1415,crew
wa,tm1718,crew
ls,tm1415,crew
ls,tm1718,crew
sc,tsca1415,crew
sc,tm1718,crew
pa,t1112,crew
pa,tm1415,crew
pa,tm1718,crew
pa,tblu0809,crew
bt,tm1415,crew
bt,tm1718,crew
jv,tm1415,crew
jv,tm1718,crew
te,tm1415,crew
te,tm1718,crew
acu,t1112,crew
acu,tm1415,crew
acu,tm1718,crew
acu,tbla0809,crew
sd,tsca1415,skipper
lg,tsca1415,crew
lg,tshks1718,crew
ae,tsca1415,crew
ae,tb1718,crew
ae,hprb2223,crew
alu,tsca1415,crew
alu,tb1718,crew
alu,eth2223,crew
ejm,tsca1415,crew
ejm,ttttop1718,crew
lw,tsca1415,crew
lw,ttttop1718,crew
sba,tsca1415,crew
sba,tb1718,crew
sj,tsca1415,crew
sj,tvhr1718,crew
dc,tsca1415,crew
dc,ttttop1718,crew
sh,tsca1415,crew
ce,ta1415,skipper
ce,tvhr1718,skipper
ce,eth2223,skipper
mt,ta1415,crew
mt,tvhr1718,crew
wo,cwetnz1112,crew
wo,ta1415,crew
abo,tb1718,crew
rh,ta1415,crew
rh,ts1112,crew
rh,dl0809,crew
ds,ts1112,crew
ds,ta1415,crew
sm,g41112,crew
cn,cwetnz1112,skipper
cn,tvw1415,skipper
cn,tan1718,crew
cn,por0809,crew
ns,tvw1415,skipper
ns,tan1718,skipper
pwi,tvw1415,crew
tr,cwetnz1112,crew
tr,tvw1415,crew
st,tvw1415,crew
ta,tvw1415,crew
ta,por1112,crew
ta,tblu0809,crew
rs,por0809,crew
rs,cwetnz1112,crew
rs,tvw1415,crew
tj,tvw1415,crew
tj,tvhr1718,crew
wv,tvw1415,crew
wv,tr0809,crew
mc,tvw1415,crew
mc,tb1718,crew
bf,tan1718,crew
lm,tan1718,crew
mg,tan1718,crew
en,tan1718,crew
rmo,tan1718,crew
pvn,tan1718,crew
pvn,dl0809,crew
ape,tan1718,crew
cl,tan1718,crew
tro,tb1718,crew
dwi,tshks1718,skipper
lp,tshks1718,crew
bp,tshks1718,crew
sha,tshks1718,crew
sha,gd0809,crew
jfi,tshks1718,crew
ag,tshks1718,crew
abe,tshks1718,crew
abe,hprb2223,crew
tc,tshks1718,crew
af,tshks1718,crew
gw,tshks1718,crew
ts,tshks1718,crew
maj,tshks1718,crew
tb,tshks1718,crew
tb,gd0809,crew
pc,tshks1718,crew
jma,tshks1718,crew
am,ttttop1718,crew
bmo,ttttop1718,crew
fcl,ttttop1718,crew
fcl,eth2223,crew
bfr,ttttop1718,crew
hb,ttttop1718,crew
lc,ttttop1718,crew
fpdm,ttttop1718,crew
bc,ttttop1718,crew
ms,ttttop1718,crew
ms,e30809,crew
ms,g41112,crew
brth,ttttop1718,crew
nl,ttttop1718,crew
nl,tm2223,crew
df,tvhr1718,crew
df,gd0809,crew
df,eth2223,crew
ph,tvhr1718,crew
ph,gd0809,crew
ph,adoct1415,crew
tmu,tvhr1718,crew
tmu,por1112,crew
tmu,e40809,crew
jmh,tvhr1718,crew
hd,tvhr1718,crew
rbdc,tvhr1718,crew
rbdc,cwetnz1112,crew
rbdc,dl0809,skipper
tg,e40809,skipper
hc,e40809,crew
jus,e40809,crew
bj,e40809,crew
bj,por1112,crew
de,e40809,crew
jsi,e40809,crew
jsi,t1112,crew
rgo,e40809,crew
rgo,por1112,crew
pj,e40809,crew
tjo,e30809,crew
mk,e30809,crew
mk,g41112,crew
anl,e30809,skipper
rm,e30809,crew
rm,ts1112,crew
akm,e30809,crew
akm,ts1112,crew
eme,e30809,crew
smy,e30809,crew
jn,e30809,crew
kn,e30809,crew
mo,e30809,skipper
ar,e30809,crew
ad,e30809,crew
maw,e30809,crew
shf,por0809,crew
sg,por0809,crew
jk,por0809,crew
jmc,por0809,crew
mm,por0809,crew
mm,por1112,crew
rn,por0809,crew
kr,por0809,skipper
kr,por1112,skipper
cas,por0809,crew
cas,por1112,crew
ew,por0809,crew
ib,gd0809,crew
jc,gd0809,crew
cm,gd0809,crew
cm,ts1112,crew
nmcd,gd0809,crew
nmcd,t1112,crew
amcl,gd0809,crew
amcl,cwetnz1112,crew
ame,gd0809,crew
scm,gd0809,crew
imo,gd0809,crew
jln,gd0809,crew
jln,g41112,crew
fs,gd0809,crew
gar,tbla0809,crew
ja,tbla0809,crew
fe,tbla0809,skipper
pi,tbla0809,crew
sl,tbla0809,crew
rni,tbla0809,crew
mp,tbla0809,crew
mp,cwetnz1112,crew
jp,tbla0809,crew
fr,tbla0809,crew
dv,tbla0809,crew
im,tblu0809,crew
im,t1112,skipper
jsw,tblu0809,crew
jsw,por1112,crew
jca,tblu0809,crew
jca,t1112,crew
pr,tblu0809,crew
pr,t1112,skipper
ga,dl0809,crew
ga,tr0809,crew
afo,dl0809,crew
mag,dl0809,crew
fk,dl0809,crew
eo,dl0809,crew
go,dl0809,skipper
dp,dl0809,crew
gp,dl0809,crew
evl,dl0809,crew
mwa,dl0809,crew
mw,dl0809,crew
stw,dl0809,crew
nbu,tr0809,crew
je,tr0809,crew
bco,tr0809,crew
ah,tr0809,skipper
mj,tr0809,crew
rl,tr0809,crew
sw,tr0809,crew
cw,tr0809,crew
oz,tr0809,crew
bd,ge2223,skipper
rst,ge2223,skipper
pk,ge2223,crew
acb,ge2223,crew
gl,ge2223,crew
ss,ge2223,crew
te,ge2223,crew
cd,ge2223,crew
pm,br2223,skipper
ama,br2223,crew
ml,br2223,crew
alr,br2223,crew
agr,br2223,crew
dse,br2223,crew
rgl,br2223,crew
ab,br2223,crew
zm,br2223,crew
bh,tm2223,skipper
wh,tm2223,skipper
rku,por1112,crew
rku,tm2223,crew
cp,tm2223,crew
ap,tm2223,crew
ye,tm2223,crew
aa,tm2223,crew
bs,hprb2223,skipper
sgo,hprb2223,crew
tl,hprb2223,crew
sbe,hprb2223,crew
mlp,hprb2223,crew
yr,hprb2223,crew
gs,hprb2223,crew
jch,hprb2223,crew
ami,cwetnz1112,crew
kh,por1112,crew
zg,t1112,crew
msa,ts1112,skipper
amei,ts1112,crew
bsc,ts1112,crew
cdu,ts1112,crew
tjh,ts1112,crew
